num,us,ms,count,enable,1k,Gx,Gy,Gz
133,13,-172,-73,-865,-109,5300,-271,102
134,13,-172,-74,-864,-108,5301,-270,103
135,13,-172,-73,-864,-106,5299,-271,103
136,13,-171,-73,-863,-108,5303,-271,103
137,13,-171,-73,-864,-108,5301,-271,103
138,13,-172,-72,-863,-109,5298,-271,103
139,13,-172,-73,-864,-107,5298,-270,102
140,13,-171,-73,-863,-107,5303,-271,102
141,14,-170,-72,-864,-110,5293,-273,102
142,14,-170,-72,-864,-110,5295,-271,101
143,14,-172,-72,-864,-108,5301,-270,103
144,14,-172,-73,-864,-108,5299,-270,103
145,14,-173,-72,-865,-107,5299,-270,102
146,14,-172,-73,-864,-108,5299,-272,102
147,14,-172,-72,-864,-108,5299,-271,102
148,14,-171,-73,-864,-108,5299,-271,102
149,14,-171,-73,-864,-109,5302,-270,102
150,14,-170,-73,-864,-109,5298,-271,101
151,15,-171,-72,-865,-109,5291,-272,101
152,15,-172,-72,-863,-108,5296,-271,102
153,15,-172,-72,-864,-108,5298,-272,102
154,15,-171,-71,-864,-108,5299,-272,102
155,15,-170,-73,-863,-109,5299,-272,101
156,15,-171,-73,-863,-108,5298,-272,101
157,15,-170,-72,-863,-109,5299,-271,102
158,15,-171,-72,-863,-108,5300,-272,101
159,15,-171,-72,-864,-109,5299,-271,101
160,15,-170,-73,-864,-109,5295,-274,102
161,16,-170,-72,-864,-110,5293,-273,102
162,16,-170,-72,-864,-110,5295,-271,101
163,16,-171,-72,-865,-109,5295,-273,101
164,16,-171,-73,-866,-109,5293,-272,101
165,16,-172,-75,-866,-110,5292,-271,100
166,16,-172,-73,-866,-110,5292,-272,100
167,16,-172,-73,-865,-109,5290,-271,101
168,16,-171,-73,-864,-109,5291,-272,102
169,16,-171,-73,-867,-109,5294,-272,102
170,16,-171,-72,-866,-109,5290,-273,102
171,17,-171,-72,-865,-109,5291,-272,101
172,17,-170,-72,-864,-109,5289,-274,100
173,17,-171,-73,-865,-108,5291,-271,100
174,17,-171,-73,-865,-108,5287,-271,101
175,17,-170,-71,-864,-109,5285,-271,101
176,17,-171,-72,-865,-110,5287,-269,101
177,17,-171,-72,-865,-110,5287,-270,101
178,17,-171,-71,-865,-111,5289,-269,101
179,17,-171,-72,-865,-110,5286,-271,101
180,17,-171,-72,-865,-110,5287,-273,101
181,18,-172,-73,-865,-111,5282,-269,99
182,18,-170,-71,-864,-110,5285,-271,101
183,18,-171,-71,-864,-111,5287,-270,101
184,18,-171,-71,-865,-111,5289,-270,100
185,18,-171,-72,-866,-110,5288,-271,101
186,18,-171,-72,-865,-111,5288,-271,99
187,18,-172,-73,-867,-111,5287,-271,100
188,18,-172,-73,-867,-111,5287,-272,100
189,18,-171,-72,-866,-110,5282,-272,101
190,18,-171,-73,-865,-111,5284,-272,100
191,19,-170,-72,-865,-111,5284,-267,100
192,19,-171,-72,-866,-111,5283,-273,101
193,19,-171,-72,-866,-110,5284,-272,101
194,19,-171,-72,-865,-110,5283,-272,100
195,19,-172,-73,-866,-110,5282,-271,101
196,19,-173,-73,-866,-110,5282,-271,100
197,19,-172,-73,-866,-111,5280,-270,99
198,19,-171,-72,-866,-110,5282,-269,100
199,19,-170,-73,-865,-110,5282,-270,100
200,19,-171,-73,-866,-109,5282,-268,99
201,20,-172,-73,-865,-111,5282,-269,99
202,20,-171,-72,-866,-109,5283,-269,100
203,20,-171,-72,-866,-110,5284,-270,99
204,20,-170,-72,-865,-112,5284,-270,100
205,20,-170,-72,-865,-110,5284,-270,99
206,20,-170,-72,-865,-111,5285,-270,99
207,20,-170,-71,-865,-111,5284,-270,99
208,20,-171,-72,-866,-111,5285,-269,99
209,20,-171,-72,-865,-111,5284,-270,100
210,20,-170,-72,-865,-111,5282,-270,100
211,21,-170,-72,-865,-111,5284,-267,100
212,21,-170,-72,-865,-110,5284,-267,100
213,21,-170,-72,-866,-110,5285,-267,99
214,21,-171,-72,-865,-111,5285,-269,99
215,21,-171,-72,-864,-111,5284,-269,100
216,21,-171,-72,-865,-113,5285,-269,99
217,21,-170,-72,-865,-111,5285,-270,99
218,21,-169,-72,-865,-112,5280,-269,99
219,21,-170,-71,-864,-111,5283,-268,99
220,21,-170,-71,-865,-111,5285,-268,98
221,22,-169,-72,-865,-112,5283,-268,100
222,22,-169,-72,-865,-111,5280,-270,99
223,22,-170,-73,-865,-111,5281,-269,98
224,22,-171,-71,-865,-111,5281,-267,98
225,22,-170,-71,-864,-111,5284,-268,100
226,22,-171,-72,-864,-111,5282,-270,99
227,22,-171,-71,-865,-112,5283,-270,98
228,22,-170,-72,-864,-111,5283,-271,99
229,22,-170,-70,-865,-111,5283,-268,99
230,22,-170,-71,-864,-113,5281,-270,98
231,23,-171,-71,-864,-112,5283,-270,99
232,23,-169,-71,-863,-112,5282,-269,100
233,23,-168,-70,-863,-112,5280,-269,98
234,23,-170,-71,-864,-112,5279,-269,99
235,23,-170,-71,-864,-114,5281,-268,100
236,23,-171,-71,-865,-113,5278,-270,99
237,23,-171,-71,-864,-114,5279,-272,99
238,23,-170,-71,-865,-114,5281,-268,99
239,23,-170,-72,-865,-113,5280,-269,100
240,23,-170,-71,-864,-113,5280,-270,100
241,24,-170,-71,-864,-113,5278,-269,99
242,24,-170,-71,-864,-113,5279,-271,100
243,24,-171,-71,-864,-113,5281,-269,99
244,24,-171,-71,-865,-114,5279,-273,99
245,24,-171,-71,-865,-115,5279,-272,98
246,24,-171,-72,-864,-115,5280,-271,100
247,24,-171,-71,-864,-113,5279,-272,98
248,24,-170,-72,-864,-113,5278,-270,98
249,24,-170,-71,-864,-114,5275,-270,99
250,24,-170,-72,-864,-113,5275,-270,98
251,25,-172,-72,-863,-114,5270,-270,98
252,25,-171,-72,-864,-115,5269,-268,97
253,25,-171,-72,-865,-113,5280,-271,99
254,25,-170,-72,-865,-113,5274,-270,98
255,25,-170,-72,-864,-113,5278,-271,99
256,25,-171,-72,-864,-112,5277,-271,99
257,25,-170,-71,-864,-114,5275,-271,98
258,25,-170,-72,-864,-112,5276,-269,97
259,25,-169,-72,-863,-112,5278,-270,99
260,25,-171,-71,-864,-112,5275,-272,99
261,26,-170,-71,-864,-113,5273,-270,98
262,26,-170,-71,-864,-114,5272,-270,98
263,26,-169,-71,-864,-113,5273,-270,97
264,26,-171,-72,-863,-112,5273,-270,98
265,26,-171,-72,-865,-114,5274,-269,98
